NIFTY 500,NIFTY NEXT 50,NIFTY 50,Unnamed: 3,Lookup Symbol,Index
POLYMED,,,,,
APOLLOTYRE,,,,,
BLUESTARCO,,,,,
DABUR,,,,,
HUDCO,,,,,
ITCHOTELS,,,,,
JUBLINGREA,,,,,
ASTERDM,,,,,
ANTHEM,,,,,
BLUEJET,,,,,
PARADEEP,,,,,
KARURVYSYA,,,,,
APLAPOLLO,,,,,
GLENMARK,,,,,
INTELLECT,,,,,
NAVINFLUOR,,,,,
GRAVITA,,,,,
SYNGENE,,,,,
NLCINDIA,,,,,
GRAPHITE,,,,,
UNOMINDA,,,,,
CONCOR,,,,,
COROMANDEL,,,,,
ANANDRATHI,,,,,
LALPATHLAB,,,,,
ZYDUSWELL,,,,,
JSWCEMENT,,,,,
WELSPUNLIV,,,,,
LATENTVIEW,,,,,
KPRMILL,,,,,
STARHEALTH,,,,,
BALKRISIND,,,,,
NATCOPHARM,,,,,
BEML,,,,,
ANURAS,,,,,
AJANTPHARM,,,,,
FACT,,,,,
CUB,,,,,
KIMS,,,,,
CYIENT,,,,,
IPCALAB,,,,,
M&MFIN,,,,,
MSUMI,,,,,
NSLNISP,,,,,
BRIGADE,,,,,
3MINDIA,,,,,
NIVABUPA,,,,,
POONAWALLA,,,,,
SAREGAMA,,,,,
CESC,,,,,
ABSLAMC,,,,,
SCHNEIDER,,,,,
JMFINANCIL,,,,,
VIJAYA,,,,,
JUBLFOOD,,,,,
INDIACEM,,,,,
JSL,,,,,
COLPAL,,,,,
AWL,,,,,
CENTRALBK,,,,,
LEMONTREE,,,,,
TATACOMM,,,,,
ACE,,,,,
CHALET,,,,,
NTPCGREEN,,,,,
IKS,,,,,
CHAMBLFERT,,,,,
JBMA,,,,,
NIACL,,,,,
PCBL,,,,,
FINCABLES,,,,,
ELECON,,,,,
HONASA,,,,,
MINDACORP,,,,,
GICRE,,,,,
TATACHEM,,,,,
AIAENG,,,,,
FIRSTCRY,,,,,
UTIAMC,,,,,
TIINDIA,,,,,
LGEINDIA,,,,,
CREDITACC,,,,,
RAILTEL,,,,,
ERIS,,,,,
HOMEFIRST,,,,,
RITES,,,,,
CAPLIPOINT,,,,,
CCL,,,,,
INDIAMART,,,,,
AADHARHFC,,,,,
ATUL,,,,,
TATAINVEST,,,,,
CLEAN,,,,,
BAYERCROP,,,,,
AFFLE,,,,,
ELGIEQUIP,,,,,
HONAUT,,,,,
JWL,,,,,
RHIM,,,,,
CASTROLIND,,,,,
NH,,,,,
PFIZER,,,,,
BALRAMCHIN,,,,,
IRCON,,,,,
BAJAJHFL,,,,,
ABDL,,,,,
NCC,,,,,
JKCEMENT,,,,,
IRB,,,,,
ALKEM,,,,,
ABBOTINDIA,,,,,
GODREJIND,,,,,
ITI,,,,,
KPIL,,,,,
BERGEPAINT,,,,,
MMTC,,,,,
CHOLAHLDNG,,,,,
HEXT,,,,,
PTCIL,,,,,
SWANCORP,,,,,
EIDPARRY,,,,,
ACC,,,,,
ABFRL,,,,,
TRIDENT,,,,,
DOMS,,,,,
ABREL,,,,,
GLAXO,,,,,
USHAMART,,,,,
BHARTIHEXA,,,,,
ESCORTS,,,,,
AFCONS,,,,,
SUNDARMFIN,,,,,
UCOBANK,,,,,
NAVA,,,,,
PVRINOX,,,,,
MGL,,,,,
WHIRLPOOL,,,,,
RAINBOW,,,,,
CANHLIFE,,,,,
CRAFTSMAN,,,,,
CONCORDBIO,,,,,
TIMKEN,,,,,
SJVN,,,,,
URBANCO,,,,,
SOBHA,,,,,
SUNTV,,,,,
TECHNOE,,,,,
UBL,,,,,
EMAMILTD,,,,,
TBOTEK,,,,,
TORNTPOWER,,,,,
DEVYANI,,,,,
JSWDULUX,,,,,
VTL,,,,,
FIVESTAR,,,,,
GILLETTE,,,,,
AIIL,,,,,
BATAINDIA,,,,,
IGIL,,,,,
THELEELA,,,,,
